,Date,Incident,Injured,Killed,Location,State
168,2017-06-22,/incident/873847,6,1,1100 block of Osborne Street,Georgia
167,2017-06-24,/incident/875322,5,0,114th St and Manhattan Ave,New York
154,2017-06-24,/incident/874613,4,1,2335 NW 16th Ct,Florida
155,2017-06-24,/incident/876076,4,0,Pastoral Lane,New Jersey
166,2017-06-25,/incident/875886,3,1,5000 block of Thekla Ave,Missouri
153,2017-06-25,/incident/876010,4,0,5900 block of Southern Ave SE,District of Columbia
165,2017-06-27,/incident/877295,5,0,200 block of S Lotus,Illinois
152,2017-06-30,/incident/879412,6,2,1650 Grand Concourse,New York
164,2017-07-01,/incident/879953,25,0,220 W 6th St,Arkansas
151,2017-07-01,/incident/880813,4,0,3200 Humboldt Ave,California
150,2017-07-01,/incident/883656,4,0,2727 S 13000 Rd E,Illinois
163,2017-07-01,/incident/880808,2,2,Lincoln Park and Pennsylvania Avenue,New Jersey
162,2017-07-02,/incident/880738,4,0,SC 72 Bypass,South Carolina
149,2017-07-02,/incident/881700,4,0,Wilkinson Avenue,New Jersey
136,2017-07-03,/incident/881921,3,1,50 block of Thorpe St,Michigan
148,2017-07-03,/incident/882422,1,3,112 US 82,Alabama
135,2017-07-04,/incident/883489,3,1,105 E South St,North Carolina
134,2017-07-04,/incident/882665,4,0,501 W Lancaster Rd,Florida
147,2017-07-04,/incident/882321,4,1,500 block of Patterson Ave,Virginia
146,2017-07-05,/incident/883058,1,4,300 block of Russell Rd,Maine
145,2017-07-05,/incident/883052,4,0,Jefferson Street and West St. Julian Street,Georgia
133,2017-07-05,/incident/883282,2,2,11000 block of S Eberhart,Illinois
132,2017-07-06,/incident/884764,4,0,Eighth Ave,Mississippi
131,2017-07-08,/incident/886002,4,0,700 block of Oakwood,Illinois
144,2017-07-08,/incident/886220,8,1,9917 Capstan Dr,Ohio
143,2017-07-09,/incident/886564,7,0,500 block Sturgeon Rd,Virginia
130,2017-07-15,/incident/891092,4,0,12200 block of S Throop St,Illinois
142,2017-07-15,/incident/891291,3,1,21st and Fitzwater,Pennsylvania
141,2017-07-18,/incident/893726,4,0,3000 Block of N 39th St,Wisconsin
129,2017-07-18,/incident/893752,4,0,NW Grand Ave and W Thunderbird Rd,Arizona
128,2017-07-18,/incident/893712,3,1,Hewitt St and Division St,New Jersey
140,2017-07-19,/incident/894504,3,1,Imperial Hwy and Broadway,California
127,2017-07-19,/incident/893690,5,0,2300 block of Bethel St,Virginia
139,2017-07-22,/incident/896149,5,0,130 E Clifton Ave,Ohio
138,2017-07-23,/incident/896444,3,1,1500 block of East 82nd St,Illinois
126,2017-07-23,/incident/896889,4,0,10360 Ave H,Louisiana
125,2017-07-26,/incident/898631,6,1,2111 E. Green Drive,North Carolina
137,2017-07-27,/incident/900387,4,1,2000 block of E 71st St,Illinois
124,2017-07-28,/incident/900963,4,0,400 block of N Washington St,Delaware
111,2017-07-29,/incident/901000,3,2,115 W Fisher St,North Carolina
123,2017-07-29,/incident/901083,4,1,200 block of Carl St,New York
122,2017-07-30,/incident/901549,5,1,1500 block of Azalea Garden Rd,Virginia
110,2017-07-30,/incident/902187,3,1,1810 George Dieter Dr,Texas
109,2017-07-31,/incident/903090,4,0,Jasper St and Main St,Illinois
121,2017-08-01,/incident/903853,4,0,800 block of N Monticello Ave,Illinois
120,2017-08-01,/incident/904106,6,0,8000 Block of Lateral C Rd,Washington
108,2017-08-01,/incident/904026,7,0,Mariposa St and A St,California
107,2017-08-02,/incident/904329,4,0,900 block of N Broadway,Maryland
119,2017-08-03,/incident/906126,3,1,3426 18th St NE,District of Columbia
106,2017-08-04,/incident/906509,2,3,200 block of North Helen Street,Montana
118,2017-08-05,/incident/906568,3,1,1939 W Tennessee St,Florida
105,2017-08-05,/incident/907611,3,1,300 block of Ellis St,South Carolina
117,2017-08-05,/incident/907247,4,0,900 block of Brook Road,New Jersey
103,2017-08-06,/incident/907555,6,0,Wickham Ave,New York
104,2017-08-06,/incident/907857,7,0,1000 block of 106th Avenue,California
116,2017-08-06,/incident/907546,4,0,Unionport Rd,New York
115,2017-08-08,/incident/909423,6,1,1 block of East 37th Street,Illinois
102,2017-08-12,/incident/912093,3,1,12310 Bellefontaine Rd,Missouri
113,2017-08-13,/incident/912322,4,0,4000 Block of Martin Luther King Jr Blvd,California
114,2017-08-13,/incident/912805,5,0,39th St and Melon St,Pennsylvania
101,2017-08-13,/incident/912375,4,0,8700 block of Quay Rd,Virginia
100,2017-08-14,/incident/913924,2,2,Morrison St and Klump Ave,California
112,2017-08-16,/incident/914819,4,0,Merritt Ave and 15th St,New York
99,2017-08-19,/incident/916551,4,1,11143 Superior Ave,Ohio
98,2017-08-20,/incident/916848,5,2,11901 S Loomis St,Illinois
86,2017-08-20,/incident/916808,4,0,100th St and Ave M,New York
84,2017-08-21,/incident/918061,3,1,700 block of S 19th St,New Jersey
83,2017-08-21,/incident/917820,0,4,980 Fishing Creek Rd,North Carolina
85,2017-08-21,/incident/917838,4,0,262 Decatur St,Tennessee
96,2017-08-21,/incident/917793,4,0,Fabyan Place,New Jersey
97,2017-08-21,/incident/917713,3,1,Cottage Avenue and Park Heights Avenue,Maryland
95,2017-08-22,/incident/918204,4,0,300 block of N Central Ave,Illinois
82,2017-08-24,/incident/920513,0,4,10400 block of Balmoral Dr,Missouri
94,2017-08-25,/incident/921289,4,0,1600 NE 8th Ave,Florida
81,2017-08-27,/incident/921653,3,1,1127 Chestnut St,Indiana
93,2017-08-27,/incident/921733,4,1,7760 24th St,California
80,2017-08-28,/incident/922184,4,2,701 N Main St,New Mexico
92,2017-09-02,/incident/925436,3,1,8300 block of S Hermitage,Illinois
79,2017-09-02,/incident/925809,4,0,8008 Watterson Trail,Kentucky
91,2017-09-03,/incident/926766,3,2,10100 block of S Firmona Ave,California
78,2017-09-04,/incident/927277,4,0,1000 block of Bellwood Ave,Illinois
90,2017-09-06,/incident/928380,4,0,2700 block of Madison,Illinois
77,2017-09-09,/incident/931139,4,0,Kings Bend Road,Alabama
76,2017-09-10,/incident/930266,3,1,2101 N Claiborne Ave,Louisiana
89,2017-09-10,/incident/930569,1,9,1712 West Spring Creek Parkway,Texas
88,2017-09-13,/incident/932526,5,1,1000 block of Morehead St,Tennessee
75,2017-09-13,/incident/932619,4,0,3100 block of N 2nd St,Pennsylvania
74,2017-09-13,/incident/932181,3,1,14626 S Jackson Rd,Washington
87,2017-09-13,/incident/932906,4,0,400 block of S Duke St,Pennsylvania
61,2017-09-16,/incident/934036,8,0,920 Lady Street,South Carolina
73,2017-09-17,/incident/935928,4,1,300 Mistletoe St,Virginia
60,2017-09-17,/incident/936028,3,1,5000 block of Stanton Street,Michigan
72,2017-09-20,/incident/939482,5,0,4300 block of 23rd Ct,Indiana
71,2017-09-23,/incident/939834,4,1,818 Real Rd,California
58,2017-09-23,/incident/940068,5,0,Seminary St and Jackson St,Illinois
59,2017-09-23,/incident/940142,2,2,1164 Albany Ave,Connecticut
70,2017-09-24,/incident/940644,4,0,1226 E Fayette St,New York
69,2017-09-24,/incident/941257,3,1,6000 block of Hoover Dr,New Jersey
57,2017-09-24,/incident/940554,8,1,3890 Pin Hook Rd,Tennessee
56,2017-09-24,/incident/941144,4,0,500 block of E. Patapsco Avenue,Maryland
55,2017-09-26,/incident/942830,2,2,3200 block of Lyndale Ave,Maryland
67,2017-09-26,/incident/942522,4,0,2531 Chelsea Ave,Tennessee
68,2017-09-26,/incident/942628,3,1,100 block of Pastorius St,Pennsylvania
54,2017-09-28,/incident/944448,3,1,2001 N Rocheblave St,Louisiana
66,2017-09-30,/incident/946138,3,1,800 block of Kerr Avenue,Tennessee
53,2017-10-01,/incident/946496,441,59,3950 Las Vegas Blvd S,Nevada
65,2017-10-01,/incident/945990,2,3,1000 block of Massachusetts St,Kansas
52,2017-10-03,/incident/952220,4,0,2051 NW 65th St,Florida
64,2017-10-05,/incident/952720,0,4,400 block of W 13th Street,Arizona
51,2017-10-06,/incident/953156,5,0,8000 block of S Marshfield,Illinois
63,2017-10-07,/incident/954428,4,0,87th Ave and Thomas Rd,Arizona
50,2017-10-09,/incident/955268,5,0,3352 Old Spanish Trail,Texas
62,2017-10-10,/incident/956942,4,0,25th St and Treat Ave,California
49,2017-10-11,/incident/957562,0,4,15497 SR 93,Ohio
36,2017-10-12,/incident/957980,2,2,6 Asbury Ct,California
48,2017-10-15,/incident/959126,3,1,107th Ave and Camelback Rd,Arizona
35,2017-10-15,/incident/960036,2,2,6233 Gulfton St,Texas
47,2017-10-16,/incident/962623,3,1,5th Street,Mississippi
34,2017-10-17,/incident/962155,4,0,181 Martense St,New York
46,2017-10-18,/incident/962359,3,3,2111 Emmorton Park Rd,Maryland
33,2017-10-21,/incident/965066,4,0,400 Block of E Nordica St,Florida
45,2017-10-21,/incident/965251,4,0,1200 block of W Carlas Ln,Pennsylvania
44,2017-10-21,/incident/965077,4,0,164 E Eubanks St,Florida
32,2017-10-21,/incident/965756,4,0,1277 12th Ave S,Tennessee
31,2017-10-22,/incident/966178,7,2,1606 19th St Sw,Alabama
43,2017-10-22,/incident/966153,4,0,Wethersfield Avenue and Elliott Street,Connecticut
30,2017-10-23,/incident/966895,2,2,13000 block of Anchor Village,California
29,2017-10-27,/incident/974051,6,0,1716 Prentice St,Kentucky
42,2017-10-27,/incident/974411,4,0,1100 block of Fillmore,California
41,2017-10-28,/incident/974704,3,1,N Sycamore St and Franklin,Virginia
28,2017-10-28,/incident/975817,4,0,1327 N Huron St,Ohio
40,2017-10-29,/incident/975600,3,1,5500 block of Ave F,Texas
27,2017-10-31,/incident/977366,3,1,500 block of Pointe Dr,Indiana
25,2017-11-03,/incident/979651,4,0,10th Ave S and E 24th St,Minnesota
26,2017-11-03,/incident/980004,4,0,147 Roosevelt Ave,New York
38,2017-11-03,/incident/980258,4,0,E 163rd St and S Main St,California
39,2017-11-03,/incident/980401,4,1,27600 block of Mirmar Street,Louisiana
24,2017-11-04,/incident/980192,4,0,2810 Market St,Ohio
11,2017-11-04,/incident/980269,4,0,N Lamar Blvd and Masterson Pass,Texas
37,2017-11-04,/incident/980060,3,1,1515 Ocean Avenue,California
23,2017-11-05,/incident/980577,20,27,216 4th St,Texas
10,2017-11-09,/incident/984455,4,0,1800 block of Ringgold,Pennsylvania
22,2017-11-10,/incident/984822,4,0,193 Olive Rd,Ohio
9,2017-11-11,/incident/985832,5,1,2835 Bragg Blvd,North Carolina
8,2017-11-11,/incident/985582,3,1,2532 Martin Luther King Jr Blvd,Texas
21,2017-11-11,/incident/986092,5,1,Forstall Street and Burgundy Street,Louisiana
7,2017-11-12,/incident/987134,5,0,S Calvin Ave,California
19,2017-11-12,/incident/986236,7,0,4601 Melton Rd,Indiana
20,2017-11-12,/incident/986816,2,2,50 Lower Alabama St,Georgia
6,2017-11-14,/incident/988824,2,2,900 Block of View Dr,California
18,2017-11-14,/incident/987611,12,6,17357 Stagecoach Rd,California
5,2017-11-16,/incident/989838,7,0,1400 block of 15th Street,Georgia
17,2017-11-17,/incident/990974,4,0,900 Block of Mississippi St,Louisiana
4,2017-11-18,/incident/991017,4,0,3600 block of Emerson Avenue North,Minnesota
3,2017-11-24,/incident/994323,6,1,119 Martin Street,Mississippi
16,2017-11-24,/incident/995015,5,1,11618 Buckeye Rd,Ohio
15,2017-11-30,/incident/998843,4,1,11000 block of Gunston,Michigan
2,2017-12-02,/incident/999969,4,0,5200 Woodward Avenue,Michigan
14,2017-12-03,/incident/1000479,3,1,656 Marshall Ave,Tennessee
1,2017-12-04,/incident/1001566,2,2,7200 block of Everton St,Pennsylvania
13,2017-12-06,/incident/1002514,4,0,4620 N Broadway,Illinois
12,2017-12-12,/incident/1006150,4,0,17th and Gallagher Streets,Kentucky
0,2017-12-12,/incident/1006446,4,0,1301 Rivercrest Ln,Texas
